file,cluster
05-067-07191_400946774__3626085___2015-06-11.tif,1
05-067-06655_1794479__2061724___2007-03-23.tif,2
05-067-09249_401164324__3908560___2016-07-15.tif,0
05-067-09220_400985927__3626566___2015-06-15.tif,0
05-067-05594_17777623__2047952___2008-06-04.tif,0
05-071-06945_1629767__2164474___2009-08-17.tif,1
05-067-07181_400907156__3588735___2015-04-13.tif,1
05-067-06710_1332039__966933___2002-07-05.tif,1
05-067-08737_2214873__2732247___2011-06-20.tif,1
05-067-07089_400828033__3569370___2015-03-12.tif,1
05-067-08839_401164462__3908574___2016-07-15.tif,0
05-067-09647_2214874__2732248___2011-06-20.tif,1
05-067-08259_1631415__2202250___2009-10-15.tif,2
05-067-07215_401117924__3900407___2016-06-29.tif,1
05-067-07587_2221188__2823709___2011-09-02.tif,2
05-067-05171_2524927__2672634___2010-09-22.tif,0
05-067-09163_17777211__2040093___2007-12-10.tif,2
05-071-07632_2169260__2946666___2012-06-29.tif,1
05-067-09831_401130781__3962577___2016-09-22.tif,0
05-071-09261_1629697__2164545___2009-08-04.tif,1
05-007-06121_1701616__2040412___2008-11-20.tif,1
05-067-06373_400947761__3626072___2015-06-11.tif,1
05-067-08364_400909418__3663099___2015-08-14.tif,1
05-067-08162_1793371__2050423___2007-07-25.tif,2
05-071-08761_400726929__3475623___2014-08-06.tif,1
05-067-08963_17777205__2040292___2007-12-10.tif,2
05-071-09834_400726946__3475608___2014-08-06.tif,1
05-007-06243_401172803__3894267___2016-06-27.tif,1
05-067-06816_400940489__3641364___2015-07-09.tif,1
05-067-08156_400905688__3588782___2015-04-13.tif,1
05-067-08505_400847137__3588837___2015-04-13.tif,1
05-071-08403_2514089__2915750___2012-05-04.tif,1
05-071-07476_1629761__2164480___2009-08-17.tif,1
05-067-09694_400722871__3469132___2014-10-27.tif,1
05-067-08878_401047373__3641531___2015-07-09.tif,1
05-067-07047_1794239__2056475___2007-04-27.tif,2
05-067-09375_1701534__2040582___2009-04-03.tif,2
05-067-06287_17777900__2050500___2007-10-22.tif,0
05-067-08312_2447346__2862567___2011-11-16.tif,0
05-067-09451_400941351__3626164___2015-06-11.tif,1
05-067-07949_1793037__2056942___2007-05-23.tif,0
05-067-06544_1793175__2057101___2007-06-14.tif,2
05-067-09671_400843102__3588935___2015-04-13.tif,1
05-067-08686_1631354__2202307___2009-09-10.tif,2
05-071-08850_400761892__3413285___2014-08-07.tif,1
